"filename", "language", "MS SQL", "TypeScript", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/home/ashishm1/ecom-project/components/orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 201, 0, 0, 0, 5, 23, 229
"/home/ashishm1/ecom-project/components/payments/paymentclient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 3, 20, 169
"/home/ashishm1/ecom-project/components/products/ElectronicsBrandSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 162, 0, 0, 0, 3, 21, 186
"/home/ashishm1/ecom-project/components/products/ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 256, 0, 0, 0, 10, 34, 300
"/home/ashishm1/ecom-project/components/products/ProductDealsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 186, 23, 332
"/home/ashishm1/ecom-project/components/products/ProductsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 32, 13, 163
"/home/ashishm1/ecom-project/components/products/SortFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 21, 133
"/home/ashishm1/ecom-project/components/products/TopCategoriesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 0, 116, 30, 350
"/home/ashishm1/ecom-project/components/products/TopEarbuds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 6, 14, 161
"/home/ashishm1/ecom-project/components/reviews/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 323, 0, 0, 0, 18, 48, 389
"/home/ashishm1/ecom-project/components/skeletons/shimmer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 2, 16
"/home/ashishm1/ecom-project/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/ashishm1/ecom-project/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"/home/ashishm1/ecom-project/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"/home/ashishm1/ecom-project/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 10, 93
"/home/ashishm1/ecom-project/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"/home/ashishm1/ecom-project/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 14, 144
"/home/ashishm1/ecom-project/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 19, 258
"/home/ashishm1/ecom-project/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 25, 168
"/home/ashishm1/ecom-project/components/ui/highlighter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 1, 16, 104
"/home/ashishm1/ecom-project/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"/home/ashishm1/ecom-project/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/home/ashishm1/ecom-project/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"/home/ashishm1/ecom-project/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"/home/ashishm1/ecom-project/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 15, 146
"/home/ashishm1/ecom-project/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/ashishm1/ecom-project/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 12, 117
"/home/ashishm1/ecom-project/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
