Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/ashishm1/ecom-project/README.md                                            | Markdown           |         23 |          0 |         14 |         37 |
| /home/ashishm1/ecom-project/abcde.ts                                             | TypeScript         |          0 |          0 |          1 |          1 |
| /home/ashishm1/ecom-project/app/about/page.tsx                                   | TypeScript JSX     |         54 |         45 |         12 |        111 |
| /home/ashishm1/ecom-project/app/admin/appointment/page.tsx                       | TypeScript JSX     |         93 |          1 |         11 |        105 |
| /home/ashishm1/ecom-project/app/admin/categories/[id]/page.tsx                   | TypeScript JSX     |         48 |          0 |         17 |         65 |
| /home/ashishm1/ecom-project/app/admin/categories/new/page.tsx                    | TypeScript JSX     |         85 |          3 |         12 |        100 |
| /home/ashishm1/ecom-project/app/admin/categories/page.tsx                        | TypeScript JSX     |        102 |          4 |         16 |        122 |
| /home/ashishm1/ecom-project/app/admin/customers/order/page.tsx                   | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/ashishm1/ecom-project/app/admin/layout.tsx                                 | TypeScript JSX     |         46 |         10 |          8 |         64 |
| /home/ashishm1/ecom-project/app/admin/login/page.tsx                             | TypeScript JSX     |         81 |          2 |         14 |         97 |
| /home/ashishm1/ecom-project/app/admin/orders/page.tsx                            | TypeScript JSX     |         12 |          0 |          3 |         15 |
| /home/ashishm1/ecom-project/app/admin/orders/pos/client.tsx                      | TypeScript JSX     |        174 |          0 |         16 |        190 |
| /home/ashishm1/ecom-project/app/admin/orders/pos/page.tsx                        | TypeScript JSX     |        114 |          3 |          8 |        125 |
| /home/ashishm1/ecom-project/app/admin/page.tsx                                   | TypeScript JSX     |         59 |          0 |         13 |         72 |
| /home/ashishm1/ecom-project/app/admin/payments/loading.tsx                       | TypeScript JSX     |         50 |          4 |          7 |         61 |
| /home/ashishm1/ecom-project/app/admin/payments/page.tsx                          | TypeScript JSX     |        240 |          9 |         27 |        276 |
| /home/ashishm1/ecom-project/app/admin/pos/ordersRow/page.tsx                     | TypeScript JSX     |         64 |          7 |         11 |         82 |
| /home/ashishm1/ecom-project/app/admin/pos/page.tsx                               | TypeScript JSX     |         29 |          0 |          5 |         34 |
